City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Neuquen,AR,71.49,few clouds,-38.9516,-68.0591,Hotel del Comahue
568,Victor Harbor,AU,71.01,broken clouds,-35.5667,138.6167,McCracken Country Club
576,Jibuti,DJ,73.49,clear sky,11.5,42.5,Orchid Main Camp Goubet
583,Korla,CN,65.34,overcast clouds,41.7597,86.1469,Gulisitan Hotel
584,Rocha,UY,68.59,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
595,Jashpurnagar,IN,73.92,clear sky,22.9,84.15,Sagar Restaurant
605,Pasighat,IN,67.66,scattered clouds,28.0667,95.3333,Siang Guest House
608,Mae Hong Son,TH,72.72,clear sky,19.3003,97.9685,Baiyoke Chalet Hotel
615,Tocopilla,CL,69.62,few clouds,-22.092,-70.1979,Hotel Galvarino
619,Houma,US,75.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
633,Aojiang,CN,65.59,clear sky,22.9421,116.0359,Binjiang Hotel
646,Waddan,LY,71.38,clear sky,29.1614,16.139,محل الشريف محمد العايب
653,Santa Pola,ES,66.31,broken clouds,38.1917,-0.5658,Alojamiento en Santa Pola
654,Balad,IQ,71.42,clear sky,34.0164,44.1453,رضاوي زنوبة
656,Augusto Correa,BR,74.62,moderate rain,-1.0217,-46.635,Fazenda Bacuri
670,Dunmore Town,BS,72.73,scattered clouds,25.5,-76.65,Coral Sands Hotel
676,Pangkalanbuun,ID,73.44,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
692,Hualmay,PE,72.52,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
