City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Batagay-Alyta,RU,67.8006,130.4114,-8.5,98,50,5.03,scattered clouds
79,Siemiatycze,PL,52.4272,22.8623,35.1,71,14,8.63,few clouds
80,Dingle,PH,10.9995,122.6711,74.95,90,100,1.14,moderate rain
81,Luanda,AO,-8.8368,13.2343,78.8,89,40,4.61,scattered clouds
82,Chissamba,AO,-12.1667,17.3333,63.23,92,66,2.48,light rain
83,Trabzon,TR,40.9167,39.8333,46.49,87,0,0.0,clear sky
84,Taywarah,AF,33.35,64.4167,52.93,22,96,2.21,overcast clouds
85,Venice,US,27.0998,-82.4543,73.38,54,100,18.41,haze
86,La Colmena,PY,-25.8833,-56.8167,80.69,69,35,1.72,scattered clouds
87,Killybegs,IE,54.6333,-8.45,43.0,68,98,6.67,overcast clouds
88,Nishihara,JP,26.1842,127.7558,71.65,94,75,10.36,broken clouds
89,Thompson,CA,55.7435,-97.8558,37.56,56,100,13.8,overcast clouds
90,Colac,AU,-38.3333,143.5833,61.83,89,44,6.02,scattered clouds
91,Njeru,UG,0.4186,33.1731,70.07,76,92,2.51,overcast clouds
92,Tete,MZ,-16.1564,33.5867,75.29,83,40,5.01,scattered clouds
93,Dergaon,IN,26.7,93.9667,70.32,79,54,2.04,moderate rain
94,Avera,US,33.194,-82.5271,54.55,40,100,18.88,overcast clouds
95,New Norfolk,AU,-42.7826,147.0587,60.93,77,84,3.09,broken clouds
96,Cherskiy,RU,68.75,161.3,-12.55,98,79,1.61,broken clouds
97,Gizo,SB,-8.103,156.8419,82.04,73,72,6.08,light rain
98,Buraydah,SA,26.326,43.975,81.05,13,0,13.51,clear sky
99,Airai,TL,-8.9266,125.4092,58.37,66,99,2.17,overcast clouds
100,Puerto Madero,MX,14.7208,-92.4215,89.8,55,20,9.22,few clouds
101,Bezhanitsy,RU,56.9767,29.8907,37.31,89,100,7.23,overcast clouds
102,Lagoa,PT,39.05,-27.9833,55.33,71,13,37.71,few clouds
103,Soe,ID,-9.8607,124.284,64.42,74,100,3.47,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,57.6,77,40,27.63,scattered clouds
105,Vestmannaeyjar,IS,63.4427,-20.2734,39.31,66,100,27.09,overcast clouds
106,Bartica,GY,6.4,-58.6167,84.52,91,99,4.79,overcast clouds
107,Constitucion,CL,-35.3333,-72.4167,60.08,72,7,6.96,clear sky
108,Ilulissat,GL,69.2167,-51.1,10.09,89,100,4.94,overcast clouds
109,Hami,CN,42.8,93.45,59.16,13,98,13.73,overcast clouds
110,Coruripe,BR,-10.1256,-36.1756,79.34,76,43,7.81,scattered clouds
111,Polunochnoye,RU,60.8697,60.4153,32.61,99,100,5.91,overcast clouds
112,Mnogovershinnyy,RU,53.9353,139.9242,12.58,86,78,0.72,broken clouds
113,Bredasdorp,ZA,-34.5322,20.0403,62.1,86,37,18.23,scattered clouds
114,Tilichiki,RU,60.4667,166.1,19.27,84,77,2.8,broken clouds
115,Abu Samrah,SY,35.3029,37.1841,57.72,67,22,5.79,few clouds
116,Leticia,CO,-4.2153,-69.9406,89.65,66,75,4.61,broken clouds
117,Bethel,US,41.3712,-73.414,54.9,70,56,11.01,broken clouds
118,Pevek,RU,69.7008,170.3133,-18.49,96,41,2.64,scattered clouds
119,Tabou,CI,4.423,-7.3528,82.08,84,77,9.91,broken clouds
120,Sangmelima,CM,2.9333,11.9833,68.68,97,100,2.57,overcast clouds
121,Cam Ranh,VN,11.9214,109.1591,71.56,83,20,0.0,few clouds
122,Guerrero Negro,MX,27.9769,-114.0611,84.87,26,1,11.54,clear sky
123,Georgetown,MY,5.4112,100.3354,78.75,89,20,3.44,few clouds
124,Teknaf,BD,20.8624,92.3058,75.97,89,3,1.66,clear sky
125,Marawi,PH,7.9986,124.2928,66.76,93,100,1.66,overcast clouds
126,Torbay,CA,47.6666,-52.7314,33.76,94,100,23.02,snow
127,Butaritari,KI,3.0707,172.7902,80.42,79,100,13.56,moderate rain
128,Koundara,GN,12.4833,-13.3,93.13,17,2,4.88,clear sky
129,Bintulu,MY,3.1667,113.0333,73.81,100,40,2.3,light rain
130,Mar Del Plata,AR,-38.0023,-57.5575,69.1,95,75,15.01,broken clouds
131,Prince Rupert,CA,54.3161,-130.3201,39.29,87,75,6.91,broken clouds
132,High Rock,BS,26.6208,-78.2833,73.42,56,100,13.96,overcast clouds
133,Codrington,AU,-38.2667,141.9667,61.81,81,87,12.1,overcast clouds
134,Zaraza,VE,9.3503,-65.3245,98.01,27,30,7.72,scattered clouds
135,Port Alfred,ZA,-33.5906,26.891,62.19,95,100,3.0,overcast clouds
136,Baytown,US,29.7355,-94.9774,86.23,51,0,13.82,clear sky
137,Baruun-Urt,MN,46.6806,113.2792,35.55,51,1,17.34,clear sky
138,East London,ZA,-33.0153,27.9116,65.16,88,100,14.63,light rain
139,Deputatskiy,RU,69.3,139.9,-18.69,100,93,0.92,overcast clouds
140,Cayenne,GF,4.9333,-52.3333,82.44,1,100,10.36,overcast clouds
141,Namibe,AO,-15.1961,12.1522,71.19,78,9,4.61,clear sky
142,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,21.85,light snow
143,Teya,RU,60.3778,92.6267,21.63,98,100,2.73,overcast clouds
144,Zonguldak,TR,41.25,31.8333,52.0,62,11,5.17,few clouds
145,Sao Filipe,CV,14.8961,-24.4956,74.48,70,54,12.12,broken clouds
146,Kuah,MY,6.3265,99.8432,80.58,89,20,0.0,few clouds
147,Aklavik,CA,68.2191,-135.0107,8.6,66,75,10.36,light snow
148,Mareeba,AU,-17.0,145.4333,74.12,93,99,2.57,overcast clouds
149,Carnarvon,AU,-24.8667,113.6333,68.07,73,4,11.5,clear sky
150,Saint George,US,37.1041,-113.5841,86.63,9,1,11.01,clear sky
151,Touros,BR,-5.1989,-35.4608,81.28,76,63,13.31,broken clouds
152,Garden City,US,42.3256,-83.331,41.83,66,100,4.0,overcast clouds
153,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,0,14.97,clear sky
154,Geraldton,AU,-28.7667,114.6,61.21,72,100,8.05,overcast clouds
155,Saladoblanco,CO,1.9924,-76.0434,71.8,84,99,2.8,overcast clouds
156,Chengde,CN,40.9725,117.9361,52.68,53,9,1.03,clear sky
157,Puerto Narino,CO,-3.7703,-70.3831,81.77,89,96,1.66,overcast clouds
158,Helong,CN,42.5397,128.9972,49.62,83,64,4.47,broken clouds
159,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,41,11.16,light rain
160,Nueva Loja,EC,0.0847,-76.8828,86.02,70,75,5.75,broken clouds
161,Husavik,IS,66.0449,-17.3389,23.79,82,97,5.48,overcast clouds
162,Pangoa,PE,-12.1167,-73.0,73.11,96,100,0.65,overcast clouds
163,Nardaran,AZ,40.5561,50.0056,47.84,93,0,0.0,clear sky
164,Provideniya,RU,64.3833,-173.3,33.21,97,100,16.24,light snow
165,Port Blair,IN,11.6667,92.75,78.84,89,20,2.3,mist
166,Bathsheba,BB,13.2167,-59.5167,83.01,65,75,23.02,broken clouds
167,Bahia Honda,CU,22.9036,-83.1592,76.89,48,27,14.18,scattered clouds
168,Fourmies,FR,50.0153,4.0478,38.41,87,9,5.53,clear sky
169,Atherton,GB,53.5237,-2.4935,42.35,71,96,3.44,overcast clouds
170,Veraval,IN,20.9,70.3667,80.26,72,0,8.46,clear sky
171,Vardo,NO,70.3705,31.1107,37.65,86,100,23.44,overcast clouds
172,Barentu,ER,15.1139,37.5928,83.52,19,0,4.27,clear sky
173,Kaitangata,NZ,-46.2817,169.8464,53.28,74,34,10.02,scattered clouds
174,Lafiagi,NG,8.8667,5.4167,84.16,62,91,6.6,light rain
175,Miajadas,ES,39.1513,-5.9084,54.82,91,99,2.71,overcast clouds
176,Basco,PH,20.4487,121.9702,77.58,85,39,19.33,scattered clouds
177,Sept-Iles,CA,50.2001,-66.3821,34.05,95,100,9.22,fog
178,Vila Velha,BR,-20.3297,-40.2925,84.15,84,0,13.8,clear sky
179,Tamandare,BR,-8.7597,-35.1047,79.38,83,100,9.04,overcast clouds
180,Gadsden,US,34.0143,-86.0066,61.52,41,83,1.99,broken clouds
181,Kavaratti,IN,10.5669,72.642,83.61,75,81,7.58,broken clouds
182,Marsh Harbour,BS,26.5412,-77.0636,72.39,54,100,18.01,overcast clouds
183,Dessalines,HT,19.2833,-72.5,82.4,57,100,9.35,overcast clouds
184,Mehamn,NO,71.0357,27.8492,35.08,99,100,28.01,light snow
185,Misratah,LY,32.3754,15.0925,63.86,60,0,7.94,clear sky
186,Cap Malheureux,MU,-19.9842,57.6142,76.46,84,21,15.55,few clouds
